measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,028,Berlin,1990,1986-05-01,Fire Truck,Public Safety,,Pass,396,158
debt_exclusion,037,Boxborough,1990,1986-05-01,Equipment,General Government,,Pass,137,97
debt_exclusion,037,Boxborough,2000,1986-05-01,Regional School,School,,Pass,141,53
debt_exclusion,051,Carlisle,1995,1986-05-01,Land,Public Works and Facilities,,Pass,832,265
debt_exclusion,053,Charlemont,1990,1986-05-01,Dump Truck,Public Works and Facilities,,Pass,146,112
debt_exclusion,059,Chester,1990,1986-05-01,Water Line,Public Works and Facilities,,Pass,163,49
debt_exclusion,059,Chester,1990,1986-05-01,Town Hall Roof,General Government,,Pass,162,49
debt_exclusion,082,Duxbury,2000,1986-05-01,Land,General Government,,Pass,550,79
debt_exclusion,092,Essex,1991,1986-05-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,414,354
debt_exclusion,108,Goshen,1990,1986-05-01,Fire Truck,Public Safety,,Pass,153,58
debt_exclusion,115,Groton,2000,1986-05-01,Landfill,Public Works and Facilities,,Pass,263,198
debt_exclusion,131,Hingham,1990,1986-05-01,Athlet.,Culture and Recreation,,Pass,3687,1551
debt_exclusion,131,Hingham,1998,1986-05-01,Golf,Culture and Recreation,,Pass,2996,2348
debt_exclusion,140,Hubbardston,1990,1986-05-01,Fire,Public Safety,,Pass,345,221
debt_exclusion,142,Hull,1990,1986-05-01,Sewers,Public Works and Facilities,,Pass,1391,1223
debt_exclusion,145,Kingston,1992,1986-05-01,Water,Public Works and Facilities,,Pass,767,435
debt_exclusion,150,Lee,1990,1986-05-01,Sewers,Public Works and Facilities,,Pass,203,73
debt_exclusion,159,Longmeadow,1990,1986-05-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,1955,1726
debt_exclusion,159,Longmeadow,1990,1986-05-01,Equip,General Government,,Pass,1940,1754
debt_exclusion,187,Millis,1999,1986-05-01,Sewers,Public Works and Facilities,,Pass,782,627
debt_exclusion,224,Orleans,2000,1986-05-01,Land/Poor Property,General Government,,Pass,748,214
debt_exclusion,224,Orleans,2000,1986-05-01,Bulkhead,Public Safety,,Pass,734,226
debt_exclusion,235,Phillipston,1990,1986-05-01,Highway,Public Works and Facilities,,Pass,109,37
debt_exclusion,261,Sandwich,1990,1986-05-01,Land,General Government,,Pass,1907,660
debt_exclusion,269,Sherborn,1992,1986-05-01,Rschool,School,,Pass,666,318
debt_exclusion,276,Southampton,1990,1986-05-01,Truck,Public Works and Facilities,,Pass,279,175
debt_exclusion,276,Southampton,1990,1986-05-01,Schools,School,,Pass,315,130
debt_exclusion,276,Southampton,1990,1986-05-01,Highway,Public Works and Facilities,,Pass,279,180
debt_exclusion,289,Sunderland,1990,1986-05-01,Pre-Debt (Frontier Reg. H.S./Capimp),Pre-Proposition 2 1/2 Debt,,Pass,238,162
debt_exclusion,289,Sunderland,1991,1986-05-01,School,School,,Pass,215,176
debt_exclusion,290,Sutton,1990,1986-05-01,Fire,Public Safety,,Pass,499,469
debt_exclusion,318,Wellfleet,1990,1986-05-01,Land/Library,Culture and Recreation,,Pass,769,453
debt_exclusion,319,Wendell,2000,1986-05-01,Hywy Facility/Fire Station,General Operating,,Pass,104,33
debt_exclusion,324,West Newbury,1990,1986-05-01,Library,Culture and Recreation,,Pass,569,270
debt_exclusion,326,West Stockbridge,2000,1986-05-01,Sewers,Public Works and Facilities,,Pass,184,166
debt_exclusion,327,West Tisbury,1990,1986-05-01,Schools,School,,Pass,199,53
