Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
05/05/2026 00:00:00,De Luz Community Services District,Riverside,Local,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Special parcel tax at $268 per year per parcel of taxable real property within the District, making both it and the 1999 Parcel Tax subject to annual CPI adjustments with a maximum of 3%, generating approximately $500,000 annually.",55.91,44.09,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
04/14/2026 00:00:00,Whitehawk Ranch Community Service District,Plumas,Local,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: parcel tax increase of $231 per residential parcel,  a $462 increase per commercial parcel, and a subsequent 2.5% annual parcel tax increase.",68.57,31.43,Two-thirds,Pass,Recreation and Sports Facilities
01/27/2026 00:00:00,Lagunitas School District,Marin,Local,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Levying an annual parcel tax of $850 for nine years, with a 4% annual cost-of-living adjustment.",78.02,21.98,Two-thirds,Pass,K-12 School Facility
01/20/2026 00:00:00,Napa Berryessa Resort Improvement District,Napa,Local,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Authorizing the district to levy a $1,560 annual special tax for ten years on each parcel with a sewer or water lateral stubbed to the property line to fund water and sewer services.",71.65,28.35,Two-thirds,Pass,"Wastewater Collection, Treatment"
11/04/2025 00:00:00,Washington Township Health Care District,Alameda,Local,B,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $0.05 per sq. ft. of improved property for 12 years to fund health care services.,64.77,35.23,Majority,Pass,"Other, Multiple Health Care Purposes (Equipment, etc.)"
11/04/2025 00:00:00,Truckee Library Joint Powers Authority CFD No 1 (Truckee Library),Nevada; Placer,Local,G,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: annual parcel tax of $29 per vacant parcel for 30 years for the purposes of replacing the Truckee Library.,72.44,27.56,Two-thirds,Pass,"Other Capital Improvements, Public Works"
11/04/2025 00:00:00,Petaluma Joint Union High School District,Sonoma; Marin,Local,I,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: authorizing an annual parcel tax of $129 per year per parcel for eight years, for the purposes of funding improvements to the school district.",60.49,39.51,Two-thirds,Fail,K-12 School Facility
11/04/2025 00:00:00,McFarland,Kern,Local,C,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increasing the city's transactions and use tax by 1% for a combined total rate of 9.25%.,58.65,41.35,Majority,Pass,General Government
11/04/2025 00:00:00,Dunsmuir,Siskiyou,Local,D,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: changing the City of Dunsmuir's tax rate to 1% to provide funding for the maintenance of city services and facilities.,50.25,49.75,Majority,Pass,"Multiple Capital Improvements, Public Works"
11/04/2025 00:00:00,Santa Fe Springs,Los Angeles,Local,L,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increasing the sales tax by $0.0025 for county services.,61.62,38.38,Majority,Pass,General Government
11/04/2025 00:00:00,Santa Cruz County,Santa Cruz,Local,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: authorizing an annual parcel tax of $50 and a real estate transfer tax in the amount of 0.5% in excess of $4,000,000 (with a maximum of $100,000), for 10 years, for the Workforce Housing and Climate Change Fund and Housing to Prevent Homelessness Fund.",11.95,88.05,Majority,Fail,Other Housing
11/04/2025 00:00:00,Santa Cruz County,Santa Cruz,Local,C,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: authorizing an annual parcel tax of $96 and a graduated real estate transfer tax from 0.5% in excess of $1.8 million, up to 2% in excess of $4.5 million (with a maximum of $200,000), for 20 years, for housing and reducing homelessness.",52.25,47.75,Majority,Pass,Other Housing
11/04/2025 00:00:00,Santa Clara County,Santa Clara,Local,A,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increasing the county's sales tax rate by 0.625% for five years for a combined total rate of 9.75% to fund health care services.,56.71,43.29,Majority,Pass,"Fire, Police Protection/Emergency Medical"
